City (Old Name)	,City (New Name)
San Carlos,San Carlos CA
West Allis,West Allis WI
Rosemead,Rosemead CA
Huntington,Huntington WV
Redmond,Redmond WA
Massillon,Massillon OH
Waimalu,Waimalu HI
Newark,Newark DE
Aliquippa,Aliquippa PA
Severna Park,Severna Park MD
Pueblo West,Pueblo West CO
Kenmore,Kenmore NY
Muskegon charter Township,Muskegon charter Township MI
Penn Hills,Penn Hills PA
Lewis Center,Lewis Center OH
Burr Ridge,Burr Ridge IL
Auburn,Auburn WA
Goddard,Goddard KS
Yakima,Yakima WA
Westfield,Westfield IN
Murrieta,Murrieta CA
Caledonia,Caledonia WI
Berwyn,Berwyn IL
Kokomo,Kokomo IN
Charlottesville,Charlottesville VA
Peekskill,Peekskill NY
Alcoa,Alcoa TN
Hillburn,Hillburn NY
Lansing,Lansing MI
Odessa,Odessa TX
Columbus,Columbus GA
Brookhaven,Brookhaven GA
Shelby,Shelby NC
Woodruff,Woodruff SC
Bridgetown North,Bridgetown North OH
Passaic,Passaic NJ
Cranberry Township,Cranberry Township PA
Lorain,Lorain OH
Harrisburg,Harrisburg PA
Avon,Avon IN
Willingboro,Willingboro NJ
Cedar Hill,Cedar Hill TX
Lancaster,Lancaster PA
Rotterdam,Rotterdam NY
Ocean View,Ocean View DE
Olympia Fields,Olympia Fields IL
Fairview,Fairview NJ
Tolleson,Tolleson AZ
Purvis,Purvis MS
Carefree,Carefree AZ
Attalla,Attalla AL
Port Saint John,Port Saint John FL
Homeland Park,Homeland Park SC
Lula,Lula GA
Hockley,Hockley TX
Granite Falls,Granite Falls NC
Lake Wales,Lake Wales FL
Martinsville,Martinsville VA
Dixon,Dixon IL
Cocoa,Cocoa FL
Atmore,Atmore AL
Beaufort,Beaufort SC
Royal Palm Beach,Royal Palm Beach FL
Porterville,Porterville CA
Forest City,Forest City NC
North Palm Beach,North Palm Beach FL
Warrington,Warrington FL
Wadmalaw Island,Wadmalaw Island SC
Webster,Webster TX
Jollyville,Jollyville TX
Wetumpka,Wetumpka AL
Wrightsboro,Wrightsboro NC
University,University FL
Paradise Valley,Paradise Valley AZ
Pryor,Pryor OK
Four Corners,Four Corners FL
Cordova,Cordova TN
Nassau Village-Ratliff,Nassau Village-Ratliff FL
Tequesta,Tequesta FL
Glenarden,Glenarden MD
Saint Marks,Saint Marks FL
Lealman,Lealman FL
Brooklyn Park,Brooklyn Park MN
Fountain Hills,Fountain Hills AZ
Ada,Ada OK
Walker,Walker LA
Huntington Park,Huntington Park CA
Cornelius,Cornelius NC
Holiday,Holiday FL
North Druid Hills,North Druid Hills GA
Homosassa Springs,Homosassa Springs FL
Buena Ventura Lakes,Buena Ventura Lakes FL
Centreville,Centreville VA
Seymour,Seymour IN
Knights Landing,Knights Landing CA
Vienna,Vienna VA
Gretna,Gretna LA
St. Augustine,St. Augustine FL
Goulds,Goulds FL
Lake Park,Lake Park FL
New Ellenton,New Ellenton SC
Cutler,Cutler FL
Wheaton-Glenmont,Wheaton-Glenmont MD
Glenpool,Glenpool OK
Slidell,Slidell LA
Stone Mountain,Stone Mountain GA
Hyattsville,Hyattsville MD
Orion charter Township,Orion charter Township MI
Miramar,Miramar FL
La Marque,La Marque TX
Casa Grande,Casa Grande AZ
Kahului,Kahului HI
South Venice,South Venice FL
Lake Magdalene,Lake Magdalene FL
Town 'n' Country,Town 'n' Country FL
Gaffney,Gaffney SC
Clermont,Clermont FL
Loris,Loris SC
Riverdale,Riverdale GA
Spring Lake,Spring Lake NC
Goldsboro,Goldsboro NC
Dayton,Dayton OH
Perry,Perry GA
Farmington,Farmington NM
The Colony,The Colony TX
Bayshore Gardens,Bayshore Gardens FL
Greenacres,Greenacres FL
Powder Springs,Powder Springs GA
Griffin,Griffin GA
Santa Fe Springs,Santa Fe Springs CA
Radcliff,Radcliff KY
Concord,Concord NC
Monroe,Monroe NC
Poplar Bluff,Poplar Bluff MO
Wade Hampton,Wade Hampton SC
Amherst,Amherst MA
Brent,Brent FL
Bristol,Bristol TN
Southaven,Southaven MS
Union Park,Union Park FL
Mililani,Mililani HI
Gresham Park,Gresham Park GA
Orangevale,Orangevale CA
Muskegon,Muskegon MI
Golf,Golf FL
Jackson,Jackson MS
Forestville,Forestville MD
Knightdale,Knightdale NC
Irvington,Irvington NJ
Plainsboro Center,Plainsboro Center NJ
Franconia,Franconia VA
Dunwoody,Dunwoody GA
Hiram,Hiram GA
Hilton Head Island,Hilton Head Island SC
Boiling Springs,Boiling Springs SC
North Kansas City,North Kansas City MO
Mechanicsville,Mechanicsville VA
East Foothills,East Foothills CA
Hammond,Hammond LA
North Highlands,North Highlands CA
Westchase,Westchase FL
North Decatur,North Decatur GA
Belleville,Belleville IL
Lakeland Highlands,Lakeland Highlands FL
Lakeland,Lakeland FL
Estelle,Estelle LA
Pine Hills,Pine Hills FL
Kentwood,Kentwood MI
Clemson,Clemson SC
Murrells Inlet,Murrells Inlet SC
Mandeville,Mandeville LA
Varnell,Varnell GA
Cave Spring,Cave Spring GA
Amalga,Amalga UT
Lawnside,Lawnside NJ
Kansas,Kansas OK
Opa-locka,Opa-locka FL
Davenport,Davenport IA
East Cleveland,East Cleveland OH
Bluff City,Bluff City TN
Sturgeon,Sturgeon MO
Momence,Momence IL
Brookmont,Brookmont MD
Surgoinsville,Surgoinsville TN
Roseburg North,Roseburg North OR
Satus,Satus WA
New Buffalo,New Buffalo MI
Crab Orchard,Crab Orchard KY
Toppenish,Toppenish WA
Benton,Benton AR
Grayson Valley,Grayson Valley AL
Grand Saline,Grand Saline TX
DeBary,DeBary FL
Greenbrier,Greenbrier TN
Grimesland,Grimesland NC
Silvis,Silvis IL
Freeport,Freeport IL
Landis,Landis NC
Soquel,Soquel CA
Dumbarton,Dumbarton VA
Lillian,Lillian AL
Wallburg,Wallburg NC
Mount Olive,Mount Olive NC
Lebanon,Lebanon TN
Noonday,Noonday TX
Herrin,Herrin IL
Ridgeland,Ridgeland MS
Sealy,Sealy TX
South Milwaukee,South Milwaukee WI
Mineral Wells,Mineral Wells TX
Richmond Heights,Richmond Heights OH
Coshocton,Coshocton OH
West Pelzer,West Pelzer SC
Leitchfield,Leitchfield KY
Millington,Millington TN
Fort Johnson,Fort Johnson NY
Porter,Porter TX
Robbinsville,Robbinsville NJ
Okaloosa Island,Okaloosa Island FL
Humble,Humble TX
Essex,Essex MD
Holcomb,Holcomb KS
Spanish Fort,Spanish Fort AL
Southside,Southside AL
Duncan,Duncan OK
Lexington Park,Lexington Park MD
Murphy,Murphy TX
North Haledon,North Haledon NJ
Clarksdale,Clarksdale MS
Heber City,Heber City UT
Hobbs,Hobbs NM
Roscommon Township,Roscommon Township MI
Savannah,Savannah GA
Newton,Newton KS
Euless,Euless TX
Manchester,Manchester NH
Chester,Chester VA
Taunton,Taunton MA
Sarasota Springs,Sarasota Springs NY
Fort Washington,Fort Washington MD
Marshall,Marshall TX
Commerce,Commerce GA
Farmville,Farmville VA
South Plainfield,South Plainfield NJ
Guthrie,Guthrie OK
Watauga,Watauga TX
Feasterville-Trevose,Feasterville-Trevose PA
Barberton,Barberton OH
Brooksville,Brooksville FL
Sayreville,Sayreville NJ
Cedar Falls,Cedar Falls IA
Cimarron Hills,Cimarron Hills CO
Jasper,Jasper AL
Charleston,Charleston WV
Marvin,Marvin NC
